UnitID,InstitutionName,Control of institution (HD2019),Reported full-time equivalent (FTE) undergraduate enrollment  2018-19 (EFIA2019),Reported full-time equivalent (FTE) undergraduate enrollment  2017-18 (EFIA2018_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2016-17 (EFIA2017_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2015-16 (EFIA2016_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2014-15 (EFIA2015_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2013-14 (EFIA2014_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2012-13 (EFIA2013_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2011-12 (EFIA2012_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2010-11 (EFIA2011_RV),Reported full-time equivalent (FTE) undergraduate enrollment  2009-10 (EFIA2010_RV)
364627,Pioneer Technology Center,1,289,449,346,345,356,328,322,247,247,271
245962,Platt College,3,238,252,373,268,258,338,727,918,1038,997
428143,Platt College-Lawton,3,174,171,210,189,136,134,346,255,257,215
447379,Platt College-Moore,3,331,264,309,229,124,160,348,249,200,198
445258,Platt College-OKC-Memorial,3,266,234,240,266,186,200,390,386,391,394
245980,Ponca City Beauty College,3,41,42,61,70,74,55,45,79,51,47
206905,Pontotoc Technology Center,1,118,119,138,135,113,95,77,55,356,314
493691,Premier Academy of Cosmetology,3,7,,,,,,,,,
436067,Pryor Beauty College,3,,,42,51,52,77,94,123,66,64
207157,Randall University,2,288,256,269,283,187,170,187,194,191,203
250993,Red River Technology Center,1,252,303,266,270,273,295,410,76,87,154
207069,Redlands Community College,1,1101,1162,1274,1290,1333,1431,1466,1573,1653,1550
483717,River Valley Cosmetology Institute,3,40,51,45,46,69,53,,,,
207661,Rogers State University,1,2675,2752,2858,2971,2920,3169,3482,3554,3372,3232
207670,Rose State College,1,4190,4415,4333,4264,4304,4446,4896,5258,5648,5328
207740,Seminole State College,1,1152,1183,1147,1229,1323,1309,1408,1517,1551,1707
439932,Shawnee Beauty College,3,53,24,27,29,28,37,45,43,34,37
207847,Southeastern Oklahoma State University,1,2616,2544,2659,2721,2923,2957,3094,3235,3259,3278
206862,Southern Nazarene University,2,1413,1406,1349,1570,1562,1638,1618,1532,1469,1655
365198,Southern Oklahoma Technology Center,1,435,471,530,531,503,574,467,457,452,539
207786,Southern School of Beauty Inc,3,21,21,21,23,21,31,31,28,27,26
368364,Southwest Technology Center,1,172,174,130,167,176,118,211,228,258,193
207856,Southwestern Christian University,2,435,531,609,626,632,650,333,248,322,203
207865,Southwestern Oklahoma State University,1,3787,3958,3976,3828,3709,3647,3758,3873,3904,3780
207254,Spartan College of Aeronautics and Technology,3,1203,1360,1337,830,825,1064,1208,1222,1658,1371
488828,Totally Cosmo School of Modern Cosmetology,3,38,37,31,,,,,,,
207935,Tulsa Community College,1,9848,10071,10246,10602,11053,11606,12480,13141,13443,13243
488934,Tulsa Technology Center,1,3176,2819,2742,2675,,,,,,
207962,Tulsa Welding School-Tulsa,3,921,846,953,1076,1082,1237,1019,1125,1147,1074
206941,University of Central Oklahoma,1,11248,11629,11903,12103,12095,10200,12520,12370,12293,11632
207342,University of Oklahoma-Health Sciences Center,1,879,907,951,962,966,970,1026,1055,1220,1468
207500,University of Oklahoma-Norman Campus,1,20292,20355,20285,19505,19219,18838,18770,18367,17777,17709
207722,University of Science and Arts of Oklahoma,1,691,830,834,831,876,901,974,1002,1018,1048
207971,University of Tulsa,2,3297,3343,3449,3528,3512,3475,3183,3055,3112,3034
208017,Virgil's Beauty College,3,28,23,33,27,26,46,49,55,39,58
418357,Wes Watkins Technology Center,1,53,51,50,64,121,98,176,188,202,276
208035,Western Oklahoma State College,1,848,898,945,931,956,1019,2054,2062,2025,1701
418302,Western Technology Center,1,269,355,383,393,398,382,390,418,482,367
413820,Yukon Beauty College Inc,3,28,19,20,35,33,27,20,34,40,41
