UnitID,Institution Name,Control of institution (HD2019),Average amount of federal student loans awarded to undergraduate students (SFA1819),Average amount of federal student loans awarded to undergraduate students (SFA1718_RV),Average amount of federal student loans awarded to undergraduate students (SFA1617_RV),Average amount of federal student loans awarded to undergraduate students (SFA1516_RV),Average amount of federal student loans awarded to undergraduate students (SFA1415_RV),Average amount of federal student loans awarded to undergraduate students (SFA1314_RV),Average amount of federal student loans awarded to undergraduate students (SFA1213_RV),Average amount of federal student loans awarded to undergraduate students (SFA1112_RV),Average amount of federal student loans awarded to undergraduate students (SFA1011_RV),Average amount of Federal student loan aid received by undergraduate students (SFA0910_RV)
445258,Platt College-OKC-Memorial,3,7117,6753,10613,8656,11958,6251,7361,9483,7570,10519
245980,Ponca City Beauty College,3,3765,3257,5580,5618,2700,5037,4527,3880,3500,3200
206905,Pontotoc Technology Center,1,,,,,,,,,,
493691,Premier Academy of Cosmetology,3,7052,,,,,,,,,
436067,Pryor Beauty College,3,,,2650,2500,2800,3200,3588,4064,3500,2800
207157,Randall University,2,6795,7388,9425,8967,8718,6843,7464,7433,6900,7351
250993,Red River Technology Center,1,,,,,,,,,,
207069,Redlands Community College,1,4846,5138,5042,4475,4786,4353,5220,5056,4330,4543
483717,River Valley Cosmetology Institute,3,7200,7516,9612,9414,8833,,,,,
207661,Rogers State University,1,6752,5873,6526,5865,5134,5053,6081,6217,6299,6094
207670,Rose State College,1,4070,4133,4017,4239,4285,4371,4573,4934,4925,4422
207740,Seminole State College,1,5642,5559,5463,5644,5560,3169,5802,5854,5750,5241
439932,Shawnee Beauty College,3,3500,3500,3500,3500,3500,,6000,6400,3500,2913
207847,Southeastern Oklahoma State University,1,6764,6414,5175,5681,6087,5836,5879,6015,5558,5002
206862,Southern Nazarene University,2,7994,7849,9711,7462,7946,9898,6912,6903,8093,10948
365198,Southern Oklahoma Technology Center,1,,,,,,,,,,
207786,Southern School of Beauty Inc,3,6500,5500,5500,5622,7241,7500,7000,4500,7500,6000
368364,Southwest Technology Center,1,,,,,,,,,,
207856,Southwestern Christian University,2,7048,9156,9477,4838,11431,8223,4270,7776,3614,6558
207865,Southwestern Oklahoma State University,1,6344,6207,5374,5520,5256,5538,6069,6190,6346,6013
207254,Spartan College of Aeronautics and Technology,3,8856,11301,11966,8363,7420,6040,9093,9147,9744,11409
488828,Totally Cosmo School of Modern Cosmetology,3,8020,9912,8392,,,,,,,
207935,Tulsa Community College,1,5603,6088,5794,5738,5740,5557,4558,4674,4698,3176
488934,Tulsa Technology Center,1,,,,,,,,,,
207962,Tulsa Welding School-Tulsa,3,5922,6028,5954,5774,5891,6221,5955,5430,5452,8163
206941,University of Central Oklahoma,1,7464,7559,7134,7198,7374,7243,7360,7737,7714,4173
207342,University of Oklahoma-Health Sciences Center,1,8672,9709,9832,10711,11236,11061,10589,11906,11368,3855
207500,University of Oklahoma-Norman Campus,1,6614,6930,6991,6928,7015,7070,7011,7172,7079,8332
207722,University of Science and Arts of Oklahoma,1,6185,4890,6478,6366,6306,6258,7051,6668,6723,6461
207971,University of Tulsa,2,11174,11659,8182,8031,7819,8907,8597,7476,7607,7044
208017,Virgil's Beauty College,3,,5000,,,,,,,,3529
418357,Wes Watkins Technology Center,1,,,,,,,,,,
208035,Western Oklahoma State College,1,5014,5181,4890,5110,4774,4911,4878,5469,5433,4723
418302,Western Technology Center,1,,,,,,,,,,
413820,Yukon Beauty College Inc,3,8117,4200,7226,6915,5754,6784,6129,6394,6958,6810
