UnitID,Institution Name,Percent of full-time first-time undergraduates awarded any financial aid (SFA1819),
491589,Mystros Barber Academy,100,
451875,National American University-Austin,,
491118,National American University-Career Point College Teachout Site,,
482325,National American University-Georgetown,100,
492573,National American University-Killeen,,
478014,National American University-Mesquite,100,
482334,National American University-Richardson,,
488110,Natural Images Beauty College,73,
227146,Navarro College,63,
483513,Neecee's Barber College,93,
227155,Neilson Beauty College,100,
461795,North American University,96,
224110,North Central Texas College,62,
227191,North Lake College,61,
488730,Northeast Lakeview College,66,
227225,Northeast Texas Community College,85,
369686,Northwest Educational Center,100,
420398,Northwest Vista College,74,
377272,Nuvani Institute,97,
377281,Nuvani Institute,99,
227289,Oblate School of Theology,,
227298,Ocean Corporation,78,
227304,Odessa College,73,
227313,Ogle School Hair Skin Nails-Arlington,83,
381404,Ogle School Hair Skin Nails-Dallas,84,
478591,Ogle School Hair Skin Nails-Denton,77,
227322,Ogle School Hair Skin Nails-Ft Worth,78,
248703,Ogle School Hair Skin Nails-Hurst,78,
460978,Ogle School Hair Skin Nails-North Dallas,80,
480125,Ogle School Hair Skin Nails-San Antonio,79,
484604,Ogle School Hair Skin Nails-Stafford,84,
227331,Our Lady of the Lake University,100,
246354,Palo Alto College,85,
227386,Panola College,83,
227401,Paris Junior College,85,
243823,Parker University,89,
475486,Paul Mitchell the School-Arlington,84,
451565,Paul Mitchell the School-Austin,78,
249238,Paul Mitchell the School-Houston,77,
451714,Paul Mitchell the School-San Antonio,72,
488989,Paul Mitchell the School-Webster,95,
227429,Paul Quinn College,99,
455345,PCCenter,,
369783,PCI Health Training Center,88,
459514,Peloton College,73,
490735,Peloton College,69,
486813,Pima Medical Institute-El Paso,62,
460136,Pima Medical Institute-Houston,80,
494588,Pima Medical Institution-San Antonio,,
418913,Pipo Academy of Hair Design,82,
491394,Platt College-Edge Tech Academy,71,
456931,Platt College-STVT-Corpus Christi,81,
228219,Platt College-STVT-McAllen,94,
460172,Platt College-STVT-San Antonio,81,
227526,Prairie View A & M University,91,
484154,Preparing People Barber Styling College,,
458016,Professional Career Training Institute,,
439507,Quest College,87,
227687,Ranger College,83,
223463,Remington College-Dallas Campus,89,
377111,Remington College-Fort Worth Campus,82,
451857,Remington College-Houston Southeast Campus,90,
445203,Remington College-North Houston Campus,91,
227757,Rice University,69,
227766,Richland College,51,
476726,Rio Grande Valley College,35,
227845,Saint Edward's University,97,
459532,Salon & Spa Institute,98,
485874,Salon Boutique Academy,79,
491835,Salon Professional Academy of San Antonio,54,
227881,Sam Houston State University,86,
227924,San Antonio College,78,
227979,San Jacinto Community College,51,
377218,School of Automotive Machinists & Technology,71,
228042,Schreiner University,97,
369695,Sebring Career Schools-Houston,38,
246406,Sebring Career Schools-Huntsville,95,
368540,Seguin Beauty School-New Braunfels,83,
228088,Seguin Beauty School-Seguin,79,
228158,South Plains College,82,
228185,South Texas Barber College Inc,66,
409315,South Texas College,89,
228194,South Texas College of Law Houston,,
455974,South Texas Training Center,90,
456922,South Texas Vocational Technical Institute-Brownsville,63,
228200,South Texas Vocational Technical Institute-Weslaco,82,
480073,South University-Austin,100,
449807,Southeast Texas Career Institute,85,
226903,Southern Careers Institute-Austin,88,
459967,Southern Careers Institute-Brownsville,88,
405076,Southern Careers Institute-Corpus Christi,87,
459985,Southern Careers Institute-Harlingen,87,
408385,Southern Careers Institute-Pharr,89,
430245,Southern Careers Institute-San Antonio,88,
482015,Southern Careers Institute-San Antonio,91,
493992,Southern Careers Institute-Waco,80,
228246,Southern Methodist University,82,
481322,Southern Texas Careers Academy,0,
382911,Southwest Collegiate Institute for the Deaf,100,
228282,Southwest School of Business and Technical Careers-San Antonio,91,
228316,Southwest Texas Junior College,84,
451556,Southwest University at El Paso,99,
228468,Southwestern Adventist University,99,
228325,Southwestern Assemblies of God University,98,
494603,Southwestern Baptist Theological Seminary,79,
228486,Southwestern Christian College,100,
228343,Southwestern University,100,
227854,St Philip's College,86,
228149,St. Mary's University,100,
382902,Star College of Cosmetology 2,,
228431,Stephen F Austin State University,86,
491066,Strand Institute of Beauty & Esthetics,73,
458973,Strayer University-Texas,50,
228501,Sul Ross State University,91,
228529,Tarleton State University,87,
228547,Tarrant County College District,62,
228608,Temple College,78,
228699,Texarkana College,87,
226152,Texas A & M International University,97,
228723,Texas A & M University-College Station,76,
224554,Texas A & M University-Commerce,91,
224147,Texas A & M University-Corpus Christi,71,
228705,Texas A & M University-Kingsville,88,
228732,Texas A & M University-System Office,,
483036,Texas A&M University-Central Texas,,
459949,Texas A&M University-San Antonio,86,
224545,Texas A&M University-Texarkana,91,
440989,Texas Barber College,95,
458061,Texas Beauty College,100,
228866,Texas Chiropractic College Foundation Inc,,
228875,Texas Christian University,83,
228884,Texas College,78,
377315,Texas College of Cosmetology-Abilene,90,
487232,Texas College of Cosmetology-Lubbock,68,
419633,Texas College of Cosmetology-San Angelo,91,
430704,Texas Health and Science University,,
448196,Texas Health School,30,
494694,Texas Healthtech Institute,0,
228981,Texas Lutheran University,100,
229063,Texas Southern University,95,
227377,Texas Southmost College,90,
487320,Texas State Technical College,82,
228459,Texas State University,76,
229115,Texas Tech University,78,
229337,Texas Tech University Health Sciences Center,,
492689,Texas Tech University Health Sciences Center-El Paso,,
439154,Texas Tech University System Administration,,
229160,Texas Wesleyan University,100,
229179,Texas Woman's University,93,
451820,The Art Institute of Austin,92,
222938,The Art Institute of Houston,89,
458982,The Art Institute of San Antonio,90,
437635,The College of Health Care Professions-Austin,85,
480824,The College of Health Care Professions-Dallas,86,
480833,The College of Health Care Professions-Fort Worth,83,
489283,The College of Health Care Professions-McAllen Campus,89,
392257,The College of Health Care Professions-Northwest,82,
449250,The College of Health Care Professions-San Antonio,81,
492722,The College of Health Care Professions-South San Antonio,97,
447591,The College of Health Care Professions-Southwest Houston,81,
491251,The Culinary School of Fort Worth,60,
482972,The Healthcare Institute,62,
439701,The King's University,89,
485953,The Recording Conservatory of Austin,30,
491996,The Salon Professional Academy-Georgetown,88,
458098,The Salon Professional Academy-Lewisville,64,
228769,The University of Texas at Arlington,90,
228778,The University of Texas at Austin,67,
228787,The University of Texas at Dallas,78,
228796,The University of Texas at El Paso,86,
229027,The University of Texas at San Antonio,83,
228802,The University of Texas at Tyler,85,
229300,The University of Texas Health Science Center at Houston,,
228644,The University of Texas Health Science Center at San Antonio,,
416801,The University of Texas MD Anderson Cancer Center,,
228653,The University of Texas Medical Branch at Galveston,,
229018,The University of Texas of the Permian Basin,91,
227368,The University of Texas Rio Grande Valley,90,
229090,The University of Texas System Office,,
485360,The Vocational Nursing Institute Inc,67,
418968,Tint School of Makeup and Cosmetology-Dallas,76,
227058,Tint School of Makeup and Cosmetology-Irving,90,
