UnitID,Institution Name,Revised bachelor's degree-seeking cohort  (cohort year 2010) (GR200_18_RV),Revised bachelor's degree-seeking cohort  (cohort year 2009) (GR200_17_RV),Revised bachelor's degree-seeking cohort  (cohort year 2008) (GR200_16_RV),Revised bachelor's degree-seeking cohort  (cohort year 2007) (GR200_15_RV),Revised bachelor's degree-seeking cohort  (cohort year 2006) (GR200_14_RV),Revised bachelor's degree-seeking cohort  (cohort year 2005) (GR200_13_RV),Revised bachelor's degree-seeking cohort  (cohort year 2004) (GR200_12_RV),Revised bachelor's degree-seeking cohort  (cohort year 2003) (GR200_11_RV),Revised bachelor's degree-seeking cohort  (cohort year 2002) (GR200_10_RV),Revised bachelor's degree-seeking cohort  (cohort year 2001) (GR200_09_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1819),
375726,Kiamichi Technology Center-McAlester,,,,,,,,,,,16,
207209,Langston University,156,250,305,304,237,336,205,178,162,136,82,
365480,Meridian Technology Center,,,,,,,,,,,13,
363165,Metro Technology Centers,,,,,,,,,,,15,
245953,Mid-America Christian University,63,73,78,96,62,80,63,64,38,49,72,
418320,Mid-America Technology Center,,,,,,,,,,,5,
431017,Mid-Del Technology Center,,,,,,,,,,,27,
248606,Moore Norman Technology Center,,,,,,,,,,,5,
207236,Murray State College,,,,,,,,,,,64,
466152,National American University-Tulsa,,,,,,,,,,,91,
420459,Northeast Technology Center-Afton,,,,,,,,,,,10,
456560,Northeast Technology Center-Claremore,,,,,,,,,,,9,
432074,Northeast Technology Center-Kansas,,,,,,,,,,,18,
418339,Northeast Technology Center-Pryor,,,,,,,,,,,7,
461087,Northeast Technology Center-System Office,,,,,,,,,,,,
207290,Northeastern Oklahoma A&M College,,,,,,,,,,,86,
207263,Northeastern State University,1140,1048,963,960,1052,1062,1178,1198,1203,1066,69,
207281,Northern Oklahoma College,,,,,,,,,,,49,
366623,Northwest Technology Center-Alva,,,,,,,,,,,12,
407601,Northwest Technology Center-Fairview,,,,,,,,,,,,
207306,Northwestern Oklahoma State University,383,347,317,328,243,279,292,308,298,310,87,
207403,Oklahoma Baptist University,414,385,385,315,361,371,369,395,372,407,95,
207324,Oklahoma Christian University,497,471,430,521,512,523,545,356,405,465,94,
207449,Oklahoma City Community College,,,,,,,,,,,73,
207458,Oklahoma City University,421,426,370,400,354,368,320,327,252,297,91,
207351,Oklahoma Panhandle State University,77,88,79,90,61,64,107,82,77,87,44,
207315,Oklahoma State University Center for Health Sciences,,,,,,,,,,,,
207564,Oklahoma State University Institute of Technology,206,191,284,345,339,177,,,,131,84,
207388,Oklahoma State University-Main Campus,3403,2973,2946,3110,3132,3221,3126,3128,3206,3104,74,
207397,Oklahoma State University-Oklahoma City,,,,,,,,,,,48,
469629,Oklahoma Technical College,,,,,,,,,,,76,
206835,Oklahoma Wesleyan University,176,113,89,109,132,121,110,86,81,92,96,
207582,Oral Roberts University,405,434,356,476,507,421,485,550,532,576,82,
483665,Paul Mitchell the School-Ardmore,,,,,,,,,,,64,
486567,Paul Mitchell the School-Tulsa,,,,,,,,,,,56,
414966,Phillips Theological Seminary,,,,,,,,,,,,
364627,Pioneer Technology Center,,,,,,,,,,,33,
245962,Platt College,,,2,,,,,,538,,75,
428143,Platt College-Lawton,,,,,,,,,,,64,
447379,Platt College-Moore,,,,,,,,,,,70,
445258,Platt College-OKC-Memorial,,,20,5,,,,,,,73,
245980,Ponca City Beauty College,,,,,,,,,,,68,
206905,Pontotoc Technology Center,,,,,,,,,,,51,
493691,Premier Academy of Cosmetology,,,,,,,,,,,56,
436067,Pryor Beauty College,,,,,,,,,,,,
207157,Randall University,37,81,31,49,22,21,20,70,18,62,95,
250993,Red River Technology Center,,,,,,,,,,,18,
207069,Redlands Community College,,,,,,,,,,,77,
483717,River Valley Cosmetology Institute,,,,,,,,,,,35,
207661,Rogers State University,213,238,179,265,205,163,147,84,57,67,69,
207670,Rose State College,,,,,,,,,,,76,
207740,Seminole State College,,,,,,,,,,,75,
439932,Shawnee Beauty College,,,,,,,,,,,70,
207847,Southeastern Oklahoma State University,651,639,583,632,586,587,609,655,577,579,84,
206862,Southern Nazarene University,275,279,272,319,284,281,308,300,310,348,55,
365198,Southern Oklahoma Technology Center,,,,,,,,,,,15,
207786,Southern School of Beauty Inc,,,,,,,,,,,100,
368364,Southwest Technology Center,,,,,,,,,,,26,
207856,Southwestern Christian University,84,31,30,17,30,39,32,26,21,16,91,
207865,Southwestern Oklahoma State University,718,702,837,820,771,730,940,973,912,847,73,
