State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,483276,JB's Hair Design and Barber College,3,47,4726,4591,4233,4037,4439,4775,,,,,47,60,51,48,44,32,,,,,,,,,,,,,,,,89
OK,207704,Jenks Beauty College,3,121,4201,3137,4238,3779,4710,4250,3592,3452,3845,3834,121,23,69,72,101,103,124,164,161,176,,,,,,,,,,,,76
OK,375726,Kiamichi Technology Center-McAlester,1,1782,5305,3449,4068,2435,3867,2258,3283,3825,3900,3555,1782,2024,262,294,302,361,329,374,277,295,,,,,,,,,,,,16
OK,207209,Langston University,1,1884,8224,7057,6934,5183,5326,5525,6501,6055,6054,5499,1884,1951,1943,1935,1828,1804,1753,2066,2035,2107,6421,6226,5936,5734,5042,4603,3815,4255,4112,3974,3827,82
OK,365480,Meridian Technology Center,1,641,4404,4360,2972,2653,3276,3327,3305,3713,4992,3682,641,580,577,580,586,584,592,564,501,538,,,,,,,,,,,,13
OK,363165,Metro Technology Centers,1,745,5282,4625,3772,3729,3689,3576,3642,3286,3791,3742,745,784,844,819,844,914,1061,1859,1893,1408,,,,,,,,,,,,15
OK,245953,Mid-America Christian University,2,1132,7767,7399,5987,6493,6346,6656,5276,2586,12088,13335,1132,1255,1411,1374,1583,1909,2224,1391,1316,849,18838,19604,17830,17132,16798,16230,15688,15092,14830,14080,13430,72
OK,418320,Mid-America Technology Center,1,612,4189,2951,3874,2685,2066,2336,2863,2928,3442,2948,612,687,688,716,671,623,768,665,502,498,,,,,,,,,,,,5
OK,431017,Mid-Del Technology Center,1,408,3172,3658,3058,2859,2501,3441,2710,2276,2557,2257,408,83,106,117,124,92,112,111,112,111,,,,,,,,,,,,27
OK,248606,Moore Norman Technology Center,1,957,4966,4638,2259,3507,3153,2774,2381,2369,3011,2325,957,675,825,779,757,705,687,655,702,644,,,,,,,,,,,,5
OK,207236,Murray State College,1,1439,4629,5577,5245,5116,4530,6689,7105,4071,4380,7321,1439,1525,1584,1558,1632,1592,1807,1896,2031,1924,6910,6010,5050,4638,4340,4148,4134,4036,3200,2990,2840,64
OK,466152,National American University-Tulsa,3,36,3535,3473,3306,3359,2424,2682,2776,2808,4222,,36,9,122,104,163,178,199,137,21,,,15000,15000,13755,13395,13071,12315,11919,12792,,,91
OK,420459,Northeast Technology Center-Afton,1,392,3809,3558,3764,3626,2614,3690,3584,3077,3647,6331,392,343,364,243,236,284,295,265,251,368,,,,,,,,,,,,10
OK,456560,Northeast Technology Center-Claremore,1,177,2346,2938,2350,2191,3501,4173,2277,1671,2027,4604,177,152,170,204,161,153,130,135,111,74,,,,,,,,,,,,9
