UnitID,Institution Name,State abbreviation (HD2019),Undergraduate enrollment (DRVEF2018_RV),
226204,Lee College,TX,7773,
226231,LeTourneau University,TX,2801,
226277,Lincoln College of Technology-Grand Prairie,TX,1096,
227182,Lone Star College System,TX,73499,
226383,Lubbock Christian University,TX,1439,
481003,M T Training Center,TX,176,
490674,Manuel and Theresa's School of Hair Design,TX,9,
451547,Manuel and Theresa's School of Hair Design-Bryan,TX,28,
470296,Manuel and Theresa's School of Hair Design-Victoria,TX,18,
493549,McAllen Careers Institute,TX,,
226578,McLennan Community College,TX,8955,
226587,McMurry University,TX,1128,
455336,MediaTech Institute-Dallas,TX,221,
456153,MediaTech Institute-Houston,TX,116,
417752,Messenger College,TX,45,
224776,Miami International University of Art & Design-Art Institute Dallas,TX,654,
494728,Michael's Barber & Hair Stylist Academy,TX,,
423412,Mid Cities Barber College,TX,24,
226806,Midland College,TX,5452,
226833,Midwestern State University,TX,5372,
385549,Milan Institute of Cosmetology,TX,79,
460534,Milan Institute of Cosmetology-El Paso,TX,276,
449904,Milan Institute of Cosmetology-San Antonio Military,TX,111,
440855,Milan Institute-Amarillo,TX,74,
437778,Milan Institute-San Antonio Ingram,TX,222,
488299,Mission Beauty Institute,TX,19,
493655,Montana Barber Institute,TX,,
226930,Mountain View College,TX,11619,
491589,Mystros Barber Academy,TX,7,
451875,National American University-Austin,TX,129,
491118,National American University-Career Point College Teachout Site,TX,42,
482325,National American University-Georgetown,TX,84,
492573,National American University-Killeen,TX,,
478014,National American University-Mesquite,TX,180,
482334,National American University-Richardson,TX,,
488110,Natural Images Beauty College,TX,56,
227146,Navarro College,TX,8601,
483513,Neecee's Barber College,TX,59,
227155,Neilson Beauty College,TX,31,
461795,North American University,TX,283,
224110,North Central Texas College,TX,10525,
227191,North Lake College,TX,11512,
488730,Northeast Lakeview College,TX,5510,
227225,Northeast Texas Community College,TX,3091,
369686,Northwest Educational Center,TX,234,
420398,Northwest Vista College,TX,16293,
377272,Nuvani Institute,TX,17,
377281,Nuvani Institute,TX,46,
227289,Oblate School of Theology,TX,0,
227298,Ocean Corporation,TX,136,
227304,Odessa College,TX,6602,
227313,Ogle School Hair Skin Nails-Arlington,TX,233,
381404,Ogle School Hair Skin Nails-Dallas,TX,305,
478591,Ogle School Hair Skin Nails-Denton,TX,139,
227322,Ogle School Hair Skin Nails-Ft Worth,TX,279,
248703,Ogle School Hair Skin Nails-Hurst,TX,162,
460978,Ogle School Hair Skin Nails-North Dallas,TX,215,
480125,Ogle School Hair Skin Nails-San Antonio,TX,283,
484604,Ogle School Hair Skin Nails-Stafford,TX,373,
227331,Our Lady of the Lake University,TX,1419,
246354,Palo Alto College,TX,9852,
227386,Panola College,TX,2766,
227401,Paris Junior College,TX,4959,
243823,Parker University,TX,458,
475486,Paul Mitchell the School-Arlington,TX,328,
451565,Paul Mitchell the School-Austin,TX,140,
249238,Paul Mitchell the School-Houston,TX,471,
451714,Paul Mitchell the School-San Antonio,TX,272,
488989,Paul Mitchell the School-Webster,TX,152,
227429,Paul Quinn College,TX,550,
455345,PCCenter,TX,20,
369783,PCI Health Training Center,TX,445,
459514,Peloton College,TX,160,
490735,Peloton College,TX,70,
486813,Pima Medical Institute-El Paso,TX,483,
460136,Pima Medical Institute-Houston,TX,784,
494588,Pima Medical Institution-San Antonio,TX,,
418913,Pipo Academy of Hair Design,TX,30,
491394,Platt College-Edge Tech Academy,TX,22,
456931,Platt College-STVT-Corpus Christi,TX,389,
228219,Platt College-STVT-McAllen,TX,431,
460172,Platt College-STVT-San Antonio,TX,658,
227526,Prairie View A & M University,TX,8524,
484154,Preparing People Barber Styling College,TX,26,
458016,Professional Career Training Institute,TX,88,
439507,Quest College,TX,60,
227687,Ranger College,TX,2414,
223463,Remington College-Dallas Campus,TX,779,
377111,Remington College-Fort Worth Campus,TX,474,
451857,Remington College-Houston Southeast Campus,TX,324,
445203,Remington College-North Houston Campus,TX,448,
227757,Rice University,TX,3992,
227766,Richland College,TX,20032,
476726,Rio Grande Valley College,TX,626,
227845,Saint Edward's University,TX,3789,
459532,Salon & Spa Institute,TX,84,
485874,Salon Boutique Academy,TX,135,
491835,Salon Professional Academy of San Antonio,TX,55,
227881,Sam Houston State University,TX,18498,
227924,San Antonio College,TX,17573,
227979,San Jacinto Community College,TX,32137,
377218,School of Automotive Machinists & Technology,TX,182,
228042,Schreiner University,TX,1319,
369695,Sebring Career Schools-Houston,TX,115,
246406,Sebring Career Schools-Huntsville,TX,31,
368540,Seguin Beauty School-New Braunfels,TX,22,
228088,Seguin Beauty School-Seguin,TX,22,
228158,South Plains College,TX,9310,
228185,South Texas Barber College Inc,TX,44,
409315,South Texas College,TX,31949,
228194,South Texas College of Law Houston,TX,0,
455974,South Texas Training Center,TX,75,
456922,South Texas Vocational Technical Institute-Brownsville,TX,326,
228200,South Texas Vocational Technical Institute-Weslaco,TX,458,
480073,South University-Austin,TX,302,
449807,Southeast Texas Career Institute,TX,89,
226903,Southern Careers Institute-Austin,TX,596,
459967,Southern Careers Institute-Brownsville,TX,362,
405076,Southern Careers Institute-Corpus Christi,TX,353,
459985,Southern Careers Institute-Harlingen,TX,333,
408385,Southern Careers Institute-Pharr,TX,472,
430245,Southern Careers Institute-San Antonio,TX,412,
482015,Southern Careers Institute-San Antonio,TX,520,
493992,Southern Careers Institute-Waco,TX,,
228246,Southern Methodist University,TX,6479,
481322,Southern Texas Careers Academy,TX,,
382911,Southwest Collegiate Institute for the Deaf,TX,87,
228282,Southwest School of Business and Technical Careers-San Antonio,TX,39,
228316,Southwest Texas Junior College,TX,6894,
