UnitID,Institution Name,Control of institution (HD2019),,Published in-district tuition and fees 2018-19 (IC2018_AY),Published in-district tuition and fees 2017-18 (IC2017_AY),Published in-district tuition and fees 2016-17 (IC2016_AY),Published in-district tuition and fees 2015-16 (IC2015_AY),Published in-district tuition and fees 2014-15 (IC2014_AY),Published in-district tuition and fees 2013-14 (IC2013_AY),Published in-district tuition and fees 2012-13 (IC2012_AY),Published in-district tuition and fees 2011-12 (IC2011_AY_RV),Published in-district tuition and fees 2010-11 (IC2010_AY_RV),Published in-district tuition and fees 2009-10 (IC2009_AY_RV)
207670,Rose State College,1,,4319,4124,3808,3375,3225,3104,2955,2835,2660,2490
207740,Seminole State College,1,,5040,4440,4140,3808,3630,3425,3330,3231,3000,2848
439932,Shawnee Beauty College,3,,,,,,,,,,,
207847,Southeastern Oklahoma State University,1,,6750,6750,6450,5975,5688,5315,5060,4904,4652,4416
206862,Southern Nazarene University,2,,25234,25178,24468,23320,22690,22044,21174,19794,18354,17664
365198,Southern Oklahoma Technology Center,1,,,,,,,,,,,
207786,Southern School of Beauty Inc,3,,,,,,,,,,,
368364,Southwest Technology Center,1,,,,,,,,,,,
207856,Southwestern Christian University,2,,15080,13880,13080,12830,12470,14220,14025,12350,10700,10700
207865,Southwestern Oklahoma State University,1,,7335,7005,6690,6090,5820,5460,5175,4800,4335,4110
207254,Spartan College of Aeronautics and Technology,3,,17702,17975,16395,16395,16395,15915,15450,15000,15000,14570
488828,Totally Cosmo School of Modern Cosmetology,3,,,,,,,,,,,
207935,Tulsa Community College,1,,3349,3221,3071,2900,2820,2606,2546,2450,2313,2204
488934,Tulsa Technology Center,1,,,,,,,,,,,
207962,Tulsa Welding School-Tulsa,3,,,,,,,,,,,
206941,University of Central Oklahoma,1,,7489,7100,6699,6096,5806,5437,5092,4718,4456,4223
207342,University of Oklahoma-Health Sciences Center,1,,,,,,,,,,,
207500,University of Oklahoma-Norman Campus,1,,11538,11538,10881,10090,9495,8916,8706,8325,7864,7483
207722,University of Science and Arts of Oklahoma,1,,7200,7200,7200,6270,6270,4866,4320,3744,3744,3552
207971,University of Tulsa,2,,41509,41509,41509,39521,35855,34835,33095,31551,28735,27237
208017,Virgil's Beauty College,3,,,,,,,,,,,
418357,Wes Watkins Technology Center,1,,,,,,,,,,,
208035,Western Oklahoma State College,1,,4662,3878,3561,3196,3096,3000,3097,2964,2750,2750
418302,Western Technology Center,1,,,,,,,,,,,
413820,Yukon Beauty College Inc,3,,,,,,,,,,,
