UnitID,Institution Name,State abbreviation (HD2019),Control of institution (HD2019),
226277,Lincoln College of Technology-Grand Prairie,TX,3,
227182,Lone Star College System,TX,1,
226383,Lubbock Christian University,TX,2,
481003,M T Training Center,TX,3,
490674,Manuel and Theresa's School of Hair Design,TX,3,
451547,Manuel and Theresa's School of Hair Design-Bryan,TX,3,
470296,Manuel and Theresa's School of Hair Design-Victoria,TX,3,
493549,McAllen Careers Institute,TX,3,
226578,McLennan Community College,TX,1,
226587,McMurry University,TX,2,
455336,MediaTech Institute-Dallas,TX,3,
456153,MediaTech Institute-Houston,TX,3,
417752,Messenger College,TX,2,
224776,Miami International University of Art & Design-Art Institute Dallas,TX,3,
494728,Michael's Barber & Hair Stylist Academy,TX,3,
423412,Mid Cities Barber College,TX,3,
226806,Midland College,TX,1,
226833,Midwestern State University,TX,1,
385549,Milan Institute of Cosmetology,TX,3,
460534,Milan Institute of Cosmetology-El Paso,TX,3,
449904,Milan Institute of Cosmetology-San Antonio Military,TX,3,
440855,Milan Institute-Amarillo,TX,3,
437778,Milan Institute-San Antonio Ingram,TX,3,
488299,Mission Beauty Institute,TX,3,
493655,Montana Barber Institute,TX,3,
226930,Mountain View College,TX,1,
491589,Mystros Barber Academy,TX,2,
451875,National American University-Austin,TX,3,
491118,National American University-Career Point College Teachout Site,TX,3,
482325,National American University-Georgetown,TX,3,
492573,National American University-Killeen,TX,3,
478014,National American University-Mesquite,TX,3,
482334,National American University-Richardson,TX,3,
488110,Natural Images Beauty College,TX,3,
227146,Navarro College,TX,1,
483513,Neecee's Barber College,TX,3,
227155,Neilson Beauty College,TX,3,
461795,North American University,TX,2,
224110,North Central Texas College,TX,1,
227191,North Lake College,TX,1,
488730,Northeast Lakeview College,TX,1,
227225,Northeast Texas Community College,TX,1,
369686,Northwest Educational Center,TX,3,
420398,Northwest Vista College,TX,1,
377272,Nuvani Institute,TX,3,
377281,Nuvani Institute,TX,3,
227289,Oblate School of Theology,TX,2,
227298,Ocean Corporation,TX,3,
227304,Odessa College,TX,1,
227313,Ogle School Hair Skin Nails-Arlington,TX,3,
381404,Ogle School Hair Skin Nails-Dallas,TX,3,
478591,Ogle School Hair Skin Nails-Denton,TX,3,
227322,Ogle School Hair Skin Nails-Ft Worth,TX,3,
248703,Ogle School Hair Skin Nails-Hurst,TX,3,
460978,Ogle School Hair Skin Nails-North Dallas,TX,3,
480125,Ogle School Hair Skin Nails-San Antonio,TX,3,
484604,Ogle School Hair Skin Nails-Stafford,TX,3,
227331,Our Lady of the Lake University,TX,2,
246354,Palo Alto College,TX,1,
227386,Panola College,TX,1,
227401,Paris Junior College,TX,1,
243823,Parker University,TX,2,
475486,Paul Mitchell the School-Arlington,TX,3,
451565,Paul Mitchell the School-Austin,TX,3,
249238,Paul Mitchell the School-Houston,TX,3,
451714,Paul Mitchell the School-San Antonio,TX,3,
488989,Paul Mitchell the School-Webster,TX,3,
227429,Paul Quinn College,TX,2,
455345,PCCenter,TX,3,
369783,PCI Health Training Center,TX,3,
459514,Peloton College,TX,3,
490735,Peloton College,TX,3,
486813,Pima Medical Institute-El Paso,TX,3,
460136,Pima Medical Institute-Houston,TX,3,
494588,Pima Medical Institution-San Antonio,TX,3,
418913,Pipo Academy of Hair Design,TX,3,
491394,Platt College-Edge Tech Academy,TX,3,
456931,Platt College-STVT-Corpus Christi,TX,3,
228219,Platt College-STVT-McAllen,TX,3,
460172,Platt College-STVT-San Antonio,TX,3,
227526,Prairie View A & M University,TX,1,
484154,Preparing People Barber Styling College,TX,3,
458016,Professional Career Training Institute,TX,3,
439507,Quest College,TX,3,
227687,Ranger College,TX,1,
223463,Remington College-Dallas Campus,TX,2,
377111,Remington College-Fort Worth Campus,TX,2,
451857,Remington College-Houston Southeast Campus,TX,2,
445203,Remington College-North Houston Campus,TX,2,
227757,Rice University,TX,2,
227766,Richland College,TX,1,
476726,Rio Grande Valley College,TX,3,
227845,Saint Edward's University,TX,2,
459532,Salon & Spa Institute,TX,3,
485874,Salon Boutique Academy,TX,3,
491835,Salon Professional Academy of San Antonio,TX,3,
227881,Sam Houston State University,TX,1,
227924,San Antonio College,TX,1,
227979,San Jacinto Community College,TX,1,
377218,School of Automotive Machinists & Technology,TX,3,
228042,Schreiner University,TX,2,
369695,Sebring Career Schools-Houston,TX,3,
246406,Sebring Career Schools-Huntsville,TX,3,
368540,Seguin Beauty School-New Braunfels,TX,3,
228088,Seguin Beauty School-Seguin,TX,3,
228158,South Plains College,TX,1,
228185,South Texas Barber College Inc,TX,3,
409315,South Texas College,TX,1,
228194,South Texas College of Law Houston,TX,2,
455974,South Texas Training Center,TX,3,
456922,South Texas Vocational Technical Institute-Brownsville,TX,3,
228200,South Texas Vocational Technical Institute-Weslaco,TX,3,
480073,South University-Austin,TX,3,
449807,Southeast Texas Career Institute,TX,3,
